Model,Size,IT,WiCkeD_d,A_d,WiCkeD,A
DS-R1-Llama,8B,-,43.2,-4.1,76.1,-3.0
DS-R1-Qwen,7B,-,42.6,-4.3,74.9,-2.5
Llama-3.1,8B,-,39.7,-3.2,53.9,-5.8
Llama-3.1,8B,,43.6,-2.7,57.2,-3.4
Mistral,7B,-,35.9,-3.4,36.3,-11.6
Mistral,7B,,33.5,-5.7,43.8,-4.9
Qwen-2.5,7B,-,45.5,-6.9,43.0,-14.6
Qwen-2.5,7B,,47.1,-5.3,55.4,-1.7
Qwen-2.5,14B,-,55.6,-3.6,61.5,-3.97
Qwen-2.5,14B,,56.7,-3.4,64.0,-1.4
Gemma-2,9B,-,36.1,-12.2,41.2,-8.9
Gemma-2,9B,,44.1,-9.3,56.3,-4.4
Gemma-2,27B,-,36.1,-10.8,59.2,-4.1
Gemma-2,27B,,51.3,-3.8,60.3,-3.8
